country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Poland,Europe,2586647,58481,2197782,330384,3483,68404,1547,13062929,345450,37814209
Portugal,Europe,827765,16918,785063,25784,119,81365,1663,9530238,936775,10173455
Qatar,Asia,190998,335,170194,20469,473,68024,119,1808736,644181,2807805
Reunion,Africa,17508,123,16011,1374,54,19447,137,100098,111184,900292
Romania,Europe,1008490,25248,910298,72944,1529,52698,1319,7700501,402384,19137193
Russia,Europe,4649710,103263,4272165,274282,2300,31851,707,123900000,848727,145983351
Rwanda,Africa,23535,316,21272,1947,8,1783,24,1224739,92779,13200639
Saint Barthelemy,North America,907,1,462,444,,91607,101,26385,2664882,9901
Saint Kitts And Nevis,North America,44,,44,0,,823,,12381,231455,53492
Saint Lucia,North America,4355,64,4179,112,1,23632,347,37758,204893,184282
Saint Martin,North America,1693,12,1399,282,7,43213,306,26385,673465,39178
Saint Pierre And Miquelon,North America,24,,24,0,,4158,,5126,888080,5772
Saint Vincent And The Grenadines,North America,1806,10,1665,131,2,16239,90,43985,395495,111215
Samoa,Australia/Oceania,3,,2,1,,15,,,,199442
San Marino,Europe,4962,86,4510,366,8,145997,2530,56114,1651043,33987
Sao Tome And Principe,Africa,2267,35,2188,44,,10197,157,12597,56663,222316
Saudi Arabia,Asia,399277,6765,384027,8485,950,11332,192,15857235,450042,35235026
Senegal,Africa,39465,1079,38215,171,17,2310,63,455488,26660,17085094
Serbia,Europe,645173,5773,560934,78466,254,74074,663,3601063,413448,8709834
Seychelles,Africa,4444,25,4161,258,,44970,253,21504,217603,98822
Sierra Leone,Africa,4008,79,2831,1098,,495,10,118332,14604,8102739
Singapore,Asia,60678,30,60357,291,1,10309,5,8789647,1493265,5886193
Sint Maarten,North America,2185,27,2118,40,1,50514,624,25304,584996,43255
Slovakia,Europe,371168,10630,255300,105238,507,67958,1946,2441472,447016,5461708
Slovenia,Europe,226786,4126,208842,13818,142,109076,1984,1105344,531630,2079161
Solomon Islands,Australia/Oceania,19,,18,1,,27,,4500,6429,699918
Somalia,Africa,12566,618,5270,6678,,774,38,100631,6198,16235833
South Africa,Africa,1559113,53356,1484356,21401,546,26033,891,10154978,169560,59890253
South Korea,Asia,110688,1775,101332,7581,101,2158,35,8200519,159843,51303652
South Sudan,Africa,10381,114,10148,119,,919,10,139846,12380,11295828
Spain,Europe,3370256,76525,3111026,182705,2163,72062,1636,44285495,946900,46768927
Sri Lanka,Asia,95394,598,91775,3021,,4440,28,2374627,110534,21483302
State Of Palestine,Asia,270856,2883,234698,33275,186,52156,555,1636553,315132,5193231
Sudan,Africa,30111,2063,24214,3834,,675,46,232965,5219,44641909
Suriname,South America,9316,182,8700,434,10,15770,308,46195,78200,590726
Swaziland,Africa,18393,669,17682,42,3,15727,572,173720,148540,1169515
Sweden,Europe,857401,13621,,,376,84487,1342,7847033,773231,10148363
Switzerland,Europe,623126,10466,560294,52366,193,71591,1202,6412371,736720,8703948
Syria,Asia,20331,1385,14122,4824,,1140,78,103566,5809,17829667
Taiwan,Asia,1062,11,1027,24,,45,,513203,21518,23850438
Tajikistan,Asia,13308,90,13218,0,,1371,9,,,9703563
Tanzania,Africa,509,21,183,305,7,8,,,,61048540
Thailand,Asia,34575,97,28288,6190,1,494,1,8124896,116175,69936717
Timor Leste,Asia,1046,1,550,495,,782,,50556,37787,1337923
Togo,Africa,12034,116,9303,2615,,1428,14,292368,34686,8428939
Trinidad And Tobago,North America,8441,146,7775,520,14,6016,104,117847,83995,1403025
